,L1,T1,L2,T2,L3,T3,L4,T4
47,7.7888040866361825,2458314.0,7.49064782864272,2458314.0,13.128959557300117,2458314.0,8.880971211963667,2458314.0
48,7.594185537360912,2458316.0,7.498421456152066,2458316.0,12.256538687561479,2458316.0,8.620027664091445,2458316.0
49,7.083994708579236,2458318.0,6.82936898257929,2458318.0,12.423613248808431,2458318.0,8.154921945417085,2458318.0
50,6.288777992178457,2458320.0,6.913536359865465,2458320.0,11.98278276126668,2458320.0,8.13862316390205,2458320.0
51,6.243273116597579,2458322.0,6.6372281417052355,2458322.0,10.486345165395068,2458322.0,6.091166924715947,2458322.0
52,7.551287959952982,2458324.0,7.825766610117883,2458324.0,12.142619482710263,2458324.0,7.7412104100003365,2458324.0
53,6.905931455734713,2458326.0,6.907808075605223,2458326.0,11.32804852656271,2458326.0,7.304684824586445,2458326.0
54,6.219651305944954,2458328.0,6.668880726280399,2458328.0,10.699178027438952,2458328.0,6.137468809778125,2458328.0
55,5.960281401535342,2458330.0,6.4389856455616785,2458330.0,9.903849978463226,2458330.0,6.349148731999696,2458330.0
56,6.9046292359239985,2458332.0,6.993825415465033,2458332.0,10.263684432900243,2458332.0,8.30421930806264,2458332.0
57,6.732920630552337,2458334.0,6.668364567408318,2458334.0,10.585545636788922,2458334.0,6.685668451432994,2458334.0
58,6.340985453829563,2458336.0,6.512848857831434,2458336.0,10.348539148013446,2458336.0,7.362369574664206,2458336.0
59,6.691606298632252,2458338.0,6.239970132715409,2458338.0,9.789797090601967,2458338.0,6.506728341728531,2458338.0
60,6.011175383031953,2458340.0,6.350833176292853,2458340.0,10.441078368113798,2458340.0,7.039534036680809,2458340.0
61,6.6669874664825866,2458342.0,6.451607012328828,2458342.0,10.552103708858441,2458342.0,7.523438102910543,2458342.0
62,6.888235415704718,2458344.0,6.928853448012734,2458344.0,11.553006066736573,2458344.0,6.518402480715153,2458344.0
63,6.885308997342657,2458346.0,6.334272382169567,2458346.0,11.12420133182061,2458346.0,8.568908900166932,2458346.0
64,6.318682565723359,2458348.0,7.100238670379261,2458348.0,11.088696539218931,2458348.0,7.030687478580868,2458348.0
65,6.852461219618032,2458350.0,6.993946430070548,2458350.0,10.743759049529492,2458350.0,8.075170868912343,2458350.0
66,7.28411367025169,2458352.0,8.184639767083505,2458352.0,10.73067521078714,2458352.0,7.549069285626806,2458352.0
67,7.935000219784426,2458354.0,8.292414308185258,2458354.0,12.583614390646101,2458354.0,9.003124597818562,2458354.0
68,8.237119189781236,2458356.0,8.25902415030108,2458356.0,14.42934465883507,2458356.0,9.386595446878072,2458356.0
69,8.738198515446912,2458358.0,8.368438902536045,2458358.0,14.212026706447096,2458358.0,8.847753615574796,2458358.0
70,7.66666683017139,2458360.0,7.701994985272446,2458360.0,13.588646445767893,2458360.0,11.745489639498496,2458360.0
71,7.248607901450265,2458362.0,7.450281981070113,2458362.0,11.95725178496011,2458362.0,8.25397445847131,2458362.0
72,7.812951295389032,2458364.0,8.136876632562402,2458364.0,11.876282080829267,2458364.0,8.435234295976127,2458364.0
73,9.952708935937792,2458366.0,9.563657486737442,2458366.0,13.808222605888586,2458366.0,11.235974288341916,2458366.0
74,9.42954774861014,2458368.0,8.035635951241945,2458368.0,13.229105049839006,2458368.0,10.006360017222187,2458368.0
75,10.005778145507584,2458370.0,9.57216259341234,2458370.0,15.211373515041497,2458370.0,9.41562798074705,2458370.0
76,8.890262898012619,2458372.0,8.856408259462572,2458372.0,15.819128809137895,2458372.0,11.398878214362748,2458372.0
77,9.140813820695234,2458374.0,9.10440958895535,2458374.0,15.795980965116566,2458374.0,11.021526869516695,2458374.0
78,7.883408665515332,2458376.0,7.788322332325401,2458376.0,13.808069611084726,2458376.0,9.367342704570827,2458376.0
79,9.167229146790463,2458378.0,8.935050858867243,2458378.0,13.555146813750447,2458378.0,9.409485676220974,2458378.0
80,10.626345137632551,2458380.0,10.384742460741876,2458380.0,17.320363217105353,2458380.0,12.739067291212228,2458380.0
81,12.215403564414695,2458382.0,13.322469543702692,2458382.0,19.355638455774283,2458382.0,13.61267201650716,2458382.0
82,9.528253480028495,2458384.0,10.295279454983428,2458384.0,16.347800468027817,2458384.0,11.234559229002468,2458384.0
